Date, Open, High, Low, Close
03/11/22, 1.399, 1.435, 1.367, 1.370
03/10/22, 1.463, 1.463, 1.375, 1.399
03/09/22, 1.365, 1.474, 1.321, 1.463
03/08/22, 1.197, 1.370, 1.197, 1.365
03/07/22, 1.088, 1.212, 1.077, 1.197
03/04/22, 1.157, 1.173, 1.066, 1.088
03/03/22, 1.107, 1.212, 1.107, 1.157
03/02/22, 0.864, 1.111, 0.864, 1.107
03/01/22, 1.101, 1.104, 0.807, 0.864
02/28/22, 1.269, 1.269, 1.101, 1.101
02/25/22, 1.283, 1.296, 1.224, 1.269
02/24/22, 1.328, 1.328, 1.213, 1.283
02/23/22, 1.361, 1.376, 1.298, 1.328
02/22/22, 1.300, 1.396, 1.283, 1.361
02/21/22, 1.292, 1.334, 1.254, 1.300
02/18/22, 1.348, 1.375, 1.274, 1.292
02/17/22, 1.423, 1.423, 1.302, 1.348
02/16/22, 1.552, 1.565, 1.410, 1.423
02/15/22, 1.512, 1.556, 1.507, 1.552
02/14/22, 1.447, 1.514, 1.377, 1.512
02/11/22, 1.409, 1.466, 1.389, 1.447
02/10/22, 1.309, 1.425, 1.302, 1.409
02/09/22, 1.369, 1.369, 1.303, 1.309
02/08/22, 1.296, 1.403, 1.296, 1.369
02/07/22, 1.298, 1.332, 1.275, 1.296
02/04/22, 1.178, 1.320, 1.178, 1.298
02/03/22, 1.058, 1.208, 1.049, 1.178
02/02/22, 1.085, 1.109, 1.044, 1.058
02/01/22, 1.078, 1.120, 1.037, 1.085
01/31/22, 0.996, 1.093, 0.992, 1.078
01/28/22, 1.000, 1.054, 0.988, 0.996
01/27/22, 0.956, 1.038, 0.956, 1.000
01/26/22, 0.934, 0.971, 0.934, 0.956
01/25/22, 0.910, 0.953, 0.910, 0.934
01/24/22, 0.923, 0.931, 0.873, 0.910
01/21/22, 0.960, 0.960, 0.893, 0.923
01/20/22, 0.982, 0.984, 0.956, 0.960
01/19/22, 0.946, 1.020, 0.946, 0.982
01/18/22, 0.916, 0.954, 0.907, 0.946
01/17/22, 0.882, 0.920, 0.882, 0.916
01/14/22, 0.857, 0.893, 0.840, 0.882
01/13/22, 0.896, 0.925, 0.849, 0.857
01/12/22, 0.915, 0.939, 0.870, 0.896
01/11/22, 0.924, 0.950, 0.905, 0.915
01/10/22, 0.920, 0.944, 0.900, 0.924
01/07/22, 0.899, 0.922, 0.874, 0.920
01/06/22, 0.852, 0.907, 0.852, 0.899
